Variable,B4-A-Sí-Recuento,B4-A-Sí-% del N de fila,B4-A-Sí-% de N columnas,B4-A-No-Recuento,B4-A-No-% del N de fila,B4-A-No-% de N columnas,B4-A-No aplica-Recuento,B4-A-No aplica-% del N de fila,B4-A-No aplica-% de N columnas,B4-B-Sí-Recuento,B4-B-Sí-% del N de fila,B4-B-Sí-% de N columnas,B4-B-No-Recuento,B4-B-No-% del N de fila,B4-B-No-% de N columnas,B4-B-No aplica-Recuento,B4-B-No aplica-% del N de fila,B4-B-No aplica-% de N columnas,B4-C-Sí-Recuento,B4-C-Sí-% del N de fila,B4-C-Sí-% de N columnas,B4-C-No-Recuento,B4-C-No-% del N de fila,B4-C-No-% de N columnas,B4-C-No aplica-Recuento,B4-C-No aplica-% del N de fila,B4-C-No aplica-% de N columnas,B4-D-Sí-Recuento,B4-D-Sí-% del N de fila,B4-D-Sí-% de N columnas,B4-D-No-Recuento,B4-D-No-% del N de fila,B4-D-No-% de N columnas,B4-D-No aplica-Recuento,B4-D-No aplica-% del N de fila,B4-D-No aplica-% de N columnas,B4-E-Sí-Recuento,B4-E-Sí-% del N de fila,B4-E-Sí-% de N columnas,B4-E-No-Recuento,B4-E-No-% del N de fila,B4-E-No-% de N columnas,B4-E-No aplica-Recuento,B4-E-No aplica-% del N de fila,B4-E-No aplica-% de N columnas,B4-F-Sí-Recuento,B4-F-Sí-% del N de fila,B4-F-Sí-% de N columnas,B4-F-No-Recuento,B4-F-No-% del N de fila,B4-F-No-% de N columnas,B4-F-No aplica-Recuento,B4-F-No aplica-% del N de fila,B4-F-No aplica-% de N columnas,B4-G-Sí-Recuento,B4-G-Sí-% del N de fila,B4-G-Sí-% de N columnas,B4-G-No-Recuento,B4-G-No-% del N de fila,B4-G-No-% de N columnas,B4-G-No aplica-Recuento,B4-G-No aplica-% del N de fila,B4-G-No aplica-% de N columnas,B4-H-Sí-Recuento,B4-H-Sí-% del N de fila,B4-H-Sí-% de N columnas,B4-H-No-Recuento,B4-H-No-% del N de fila,B4-H-No-% de N columnas,B4-H-No aplica-Recuento,B4-H-No aplica-% del N de fila,B4-H-No aplica-% de N columnas,B4-I-Sí-Recuento,B4-I-Sí-% del N de fila,B4-I-Sí-% de N columnas,B4-I-No-Recuento,B4-I-No-% del N de fila,B4-I-No-% de N columnas,B4-I-No aplica-Recuento,B4-I-No aplica-% del N de fila,B4-I-No aplica-% de N columnas
AGUASCALIENTES,562,0.981,0.05,10,0.017,0.079,1,0.002,0.03,565,0.986,0.05,6,0.01,0.042,2,0.003,0.05,532,0.928,0.051,30,0.052,0.039,11,0.019,0.06,387,0.675,0.044,63,0.11,0.058,123,0.215,0.08,504,0.88,0.05,39,0.068,0.051,30,0.052,0.046,456,0.796,0.051,86,0.15,0.045,31,0.054,0.045,429,0.749,0.052,101,0.176,0.046,43,0.075,0.043,428,0.747,0.053,106,0.185,0.045,39,0.068,0.037,390,0.681,0.052,114,0.199,0.046,69,0.12,0.047
BAJA CALIFORNIA,102,1,0.009,0,0,0,0,0,0,102,1,0.009,0,0,0,0,0,0,96,0.941,0.009,5,0.049,0.006,1,0.01,0.005,76,0.745,0.009,11,0.108,0.01,15,0.147,0.01,96,0.941,0.01,3,0.029,0.004,3,0.029,0.005,67,0.657,0.008,25,0.245,0.013,10,0.098,0.014,72,0.706,0.009,20,0.196,0.009,10,0.098,0.01,74,0.725,0.009,17,0.167,0.007,11,0.108,0.01,58,0.569,0.008,26,0.255,0.01,18,0.176,0.012
BAJA CALIFORNIA SUR,685,0.993,0.061,5,0.007,0.04,0,0,0,685,0.993,0.061,4,0.006,0.028,1,0.001,0.025,640,0.928,0.061,37,0.054,0.048,13,0.019,0.071,662,0.959,0.075,14,0.02,0.013,14,0.02,0.009,596,0.864,0.059,59,0.086,0.078,35,0.051,0.054,545,0.79,0.062,104,0.151,0.055,41,0.059,0.059,483,0.7,0.059,134,0.194,0.06,73,0.106,0.072,508,0.736,0.063,113,0.164,0.048,69,0.1,0.065,461,0.668,0.062,137,0.199,0.055,92,0.133,0.062
CAMPECHE,309,0.99,0.027,3,0.01,0.024,0,0,0,306,0.981,0.027,6,0.019,0.042,0,0,0,279,0.894,0.027,28,0.09,0.036,5,0.016,0.027,224,0.718,0.025,47,0.151,0.043,41,0.131,0.027,274,0.878,0.027,25,0.08,0.033,13,0.042,0.02,229,0.734,0.026,53,0.17,0.028,30,0.096,0.043,209,0.67,0.025,72,0.231,0.032,31,0.099,0.031,197,0.631,0.024,83,0.266,0.036,32,0.103,0.03,181,0.58,0.024,86,0.276,0.034,45,0.144,0.03
CHIAPAS,97,0.98,0.009,1,0.01,0.008,1,0.01,0.03,97,0.98,0.009,1,0.01,0.007,1,0.01,0.025,88,0.889,0.008,8,0.081,0.01,3,0.03,0.016,79,0.798,0.009,11,0.111,0.01,9,0.091,0.006,91,0.919,0.009,5,0.051,0.007,3,0.03,0.005,79,0.798,0.009,15,0.152,0.008,5,0.051,0.007,68,0.687,0.008,17,0.172,0.008,14,0.141,0.014,65,0.657,0.008,24,0.242,0.01,10,0.101,0.009,62,0.626,0.008,23,0.232,0.009,14,0.141,0.009
CHIHUAHUA,519,0.987,0.046,6,0.011,0.048,1,0.002,0.03,516,0.981,0.046,8,0.015,0.056,2,0.004,0.05,465,0.884,0.044,50,0.095,0.065,11,0.021,0.06,401,0.762,0.045,42,0.08,0.039,83,0.158,0.054,481,0.914,0.048,21,0.04,0.028,24,0.046,0.037,427,0.812,0.048,69,0.131,0.036,30,0.057,0.043,361,0.686,0.044,116,0.221,0.052,49,0.093,0.049,383,0.728,0.048,101,0.192,0.043,42,0.08,0.04,363,0.69,0.049,109,0.207,0.044,54,0.103,0.036
CIUDAD DE MÉXICO,840,0.984,0.074,10,0.012,0.079,4,0.005,0.121,837,0.98,0.074,12,0.014,0.085,5,0.006,0.125,771,0.903,0.074,67,0.078,0.087,16,0.019,0.087,820,0.96,0.093,27,0.032,0.025,7,0.008,0.005,766,0.897,0.076,46,0.054,0.061,42,0.049,0.064,615,0.72,0.069,183,0.214,0.097,56,0.066,0.081,533,0.624,0.065,198,0.232,0.089,123,0.144,0.122,600,0.703,0.075,166,0.194,0.071,88,0.103,0.083,519,0.608,0.07,202,0.237,0.081,133,0.156,0.09
COAHUILA,199,0.995,0.018,0,0,0,1,0.005,0.03,198,0.99,0.018,1,0.005,0.007,1,0.005,0.025,189,0.945,0.018,7,0.035,0.009,4,0.02,0.022,173,0.869,0.02,13,0.065,0.012,13,0.065,0.009,183,0.915,0.018,10,0.05,0.013,7,0.035,0.011,160,0.8,0.018,31,0.155,0.016,9,0.045,0.013,138,0.69,0.017,37,0.185,0.017,25,0.125,0.025,135,0.675,0.017,37,0.185,0.016,28,0.14,0.026,135,0.675,0.018,40,0.2,0.016,25,0.125,0.017
COLIMA,497,0.99,0.044,5,0.01,0.04,0,0,0,495,0.986,0.044,7,0.014,0.049,0,0,0,474,0.944,0.045,21,0.042,0.027,7,0.014,0.038,345,0.687,0.039,57,0.114,0.053,100,0.199,0.065,454,0.904,0.045,35,0.07,0.046,13,0.026,0.02,390,0.777,0.044,91,0.181,0.048,21,0.042,0.03,356,0.709,0.043,115,0.229,0.052,31,0.062,0.031,358,0.713,0.044,110,0.219,0.047,34,0.068,0.032,309,0.616,0.041,122,0.243,0.049,71,0.141,0.048
DURANGO,364,0.981,0.032,4,0.011,0.032,3,0.008,0.091,360,0.97,0.032,10,0.027,0.07,1,0.003,0.025,343,0.925,0.033,23,0.062,0.03,5,0.013,0.027,286,0.771,0.032,46,0.124,0.043,39,0.105,0.026,319,0.86,0.032,30,0.081,0.04,22,0.059,0.034,286,0.771,0.032,59,0.159,0.031,26,0.07,0.037,295,0.795,0.036,53,0.143,0.024,23,0.062,0.023,272,0.733,0.034,69,0.186,0.03,30,0.081,0.028,254,0.685,0.034,77,0.208,0.031,40,0.108,0.027
ESTADO DE MÉXICO,490,0.986,0.043,4,0.008,0.032,3,0.006,0.091,491,0.988,0.044,6,0.012,0.042,0,0,0,465,0.936,0.044,29,0.058,0.038,3,0.006,0.016,439,0.883,0.05,31,0.062,0.029,27,0.054,0.018,447,0.899,0.045,35,0.07,0.046,15,0.03,0.023,390,0.785,0.044,85,0.171,0.045,22,0.044,0.032,357,0.718,0.043,103,0.207,0.046,37,0.074,0.037,349,0.702,0.043,105,0.211,0.045,43,0.087,0.041,328,0.66,0.044,112,0.225,0.045,57,0.115,0.038
GUANAJUATO,371,1,0.033,0,0,0,0,0,0,369,0.995,0.033,2,0.005,0.014,0,0,0,346,0.933,0.033,22,0.059,0.028,3,0.008,0.016,261,0.704,0.03,37,0.1,0.034,73,0.197,0.048,301,0.811,0.03,29,0.078,0.038,41,0.111,0.063,301,0.811,0.034,52,0.14,0.027,18,0.049,0.026,288,0.776,0.035,52,0.14,0.023,31,0.084,0.031,267,0.72,0.033,66,0.178,0.028,38,0.102,0.036,253,0.682,0.034,67,0.181,0.027,51,0.137,0.034
GUERRERO,20,1,0.002,0,0,0,0,0,0,20,1,0.002,0,0,0,0,0,0,16,0.8,0.002,3,0.15,0.004,1,0.05,0.005,15,0.75,0.002,2,0.1,0.002,3,0.15,0.002,17,0.85,0.002,1,0.05,0.001,2,0.1,0.003,17,0.85,0.002,2,0.1,0.001,1,0.05,0.001,12,0.6,0.001,6,0.3,0.003,2,0.1,0.002,12,0.6,0.001,5,0.25,0.002,3,0.15,0.003,11,0.55,0.001,6,0.3,0.002,3,0.15,0.002
HIDALGO,323,0.982,0.029,4,0.012,0.032,2,0.006,0.061,324,0.985,0.029,3,0.009,0.021,2,0.006,0.05,296,0.9,0.028,25,0.076,0.032,8,0.024,0.044,238,0.723,0.027,44,0.134,0.041,47,0.143,0.031,291,0.884,0.029,25,0.076,0.033,13,0.04,0.02,249,0.757,0.028,49,0.149,0.026,31,0.094,0.045,246,0.748,0.03,62,0.188,0.028,21,0.064,0.021,226,0.687,0.028,66,0.201,0.028,37,0.112,0.035,204,0.62,0.027,74,0.225,0.03,51,0.155,0.034
JALISCO,234,0.996,0.021,0,0,0,1,0.004,0.03,234,0.996,0.021,0,0,0,1,0.004,0.025,221,0.94,0.021,9,0.038,0.012,5,0.021,0.027,145,0.617,0.016,22,0.094,0.02,68,0.289,0.045,212,0.902,0.021,11,0.047,0.015,12,0.051,0.018,189,0.804,0.021,38,0.162,0.02,8,0.034,0.012,178,0.757,0.022,34,0.145,0.015,23,0.098,0.023,169,0.719,0.021,46,0.196,0.02,20,0.085,0.019,150,0.638,0.02,54,0.23,0.022,31,0.132,0.021
MICHOACÁN,37,1,0.003,0,0,0,0,0,0,36,0.973,0.003,1,0.027,0.007,0,0,0,33,0.892,0.003,3,0.081,0.004,1,0.027,0.005,31,0.838,0.004,4,0.108,0.004,2,0.054,0.001,36,0.973,0.004,1,0.027,0.001,0,0,0,28,0.757,0.003,5,0.135,0.003,4,0.108,0.006,23,0.622,0.003,8,0.216,0.004,6,0.162,0.006,23,0.622,0.003,9,0.243,0.004,5,0.135,0.005,25,0.676,0.003,9,0.243,0.004,3,0.081,0.002
MORELOS,351,0.98,0.031,5,0.014,0.04,2,0.006,0.061,351,0.98,0.031,5,0.014,0.035,2,0.006,0.05,320,0.894,0.031,30,0.084,0.039,8,0.022,0.044,257,0.718,0.029,41,0.115,0.038,60,0.168,0.039,291,0.813,0.029,25,0.07,0.033,42,0.117,0.064,261,0.729,0.029,67,0.187,0.035,30,0.084,0.043,255,0.712,0.031,69,0.193,0.031,34,0.095,0.034,234,0.654,0.029,89,0.249,0.038,35,0.098,0.033,223,0.623,0.03,84,0.235,0.034,51,0.142,0.034
NAYARIT,441,0.987,0.039,4,0.009,0.032,2,0.004,0.061,438,0.98,0.039,8,0.018,0.056,1,0.002,0.025,402,0.899,0.038,33,0.074,0.043,12,0.027,0.066,322,0.72,0.036,47,0.105,0.043,78,0.174,0.051,402,0.899,0.04,24,0.054,0.032,21,0.047,0.032,367,0.821,0.041,60,0.134,0.032,20,0.045,0.029,330,0.738,0.04,82,0.183,0.037,35,0.078,0.035,326,0.729,0.041,84,0.188,0.036,37,0.083,0.035,311,0.696,0.042,87,0.195,0.035,49,0.11,0.033
NUEVO LEÓN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PUEBLA,389,0.992,0.034,3,0.008,0.024,0,0,0,390,0.995,0.035,1,0.003,0.007,1,0.003,0.025,357,0.911,0.034,32,0.082,0.041,3,0.008,0.016,262,0.668,0.03,59,0.151,0.055,71,0.181,0.046,325,0.829,0.032,32,0.082,0.042,35,0.089,0.054,315,0.804,0.036,65,0.166,0.034,12,0.031,0.017,292,0.745,0.036,80,0.204,0.036,20,0.051,0.02,294,0.75,0.037,79,0.202,0.034,19,0.048,0.018,286,0.73,0.038,84,0.214,0.034,22,0.056,0.015
QUERÉTARO,506,0.984,0.045,6,0.012,0.048,2,0.004,0.061,506,0.984,0.045,4,0.008,0.028,4,0.008,0.1,481,0.936,0.046,28,0.054,0.036,5,0.01,0.027,321,0.625,0.036,58,0.113,0.054,135,0.263,0.088,417,0.811,0.042,35,0.068,0.046,62,0.121,0.095,384,0.747,0.043,92,0.179,0.049,38,0.074,0.055,374,0.728,0.045,87,0.169,0.039,53,0.103,0.053,364,0.708,0.045,97,0.189,0.042,53,0.103,0.05,329,0.64,0.044,106,0.206,0.042,79,0.154,0.053
QUINTANA ROO,459,0.987,0.041,5,0.011,0.04,1,0.002,0.03,458,0.985,0.041,6,0.013,0.042,1,0.002,0.025,429,0.923,0.041,31,0.067,0.04,5,0.011,0.027,327,0.703,0.037,53,0.114,0.049,85,0.183,0.056,396,0.852,0.039,33,0.071,0.044,36,0.077,0.055,354,0.761,0.04,84,0.181,0.044,27,0.058,0.039,326,0.701,0.04,91,0.196,0.041,48,0.103,0.048,311,0.669,0.039,93,0.2,0.04,61,0.131,0.058,288,0.619,0.039,98,0.211,0.039,79,0.17,0.053
SAN LUIS POTOSÍ,378,0.99,0.033,4,0.01,0.032,0,0,0,377,0.987,0.033,4,0.01,0.028,1,0.003,0.025,348,0.911,0.033,26,0.068,0.034,8,0.021,0.044,279,0.73,0.032,49,0.128,0.045,54,0.141,0.035,329,0.861,0.033,29,0.076,0.038,24,0.063,0.037,299,0.783,0.034,56,0.147,0.03,27,0.071,0.039,276,0.723,0.034,78,0.204,0.035,28,0.073,0.028,260,0.681,0.032,86,0.225,0.037,36,0.094,0.034,242,0.634,0.032,89,0.233,0.036,51,0.134,0.034
