Variable,B6-A-Totalmente de acuerdo-Recuento,B6-A-Totalmente de acuerdo-% del N de fila,B6-A-Totalmente de acuerdo-% de N columnas,B6-A-De acuerdo-Recuento,B6-A-De acuerdo-% del N de fila,B6-A-De acuerdo-% de N columnas,B6-A-En desacuerdo-Recuento,B6-A-En desacuerdo-% del N de fila,B6-A-En desacuerdo-% de N columnas,B6-A-Totalmente en desacuerdo-Recuento,B6-A-Totalmente en desacuerdo-% del N de fila,B6-A-Totalmente en desacuerdo-% de N columnas,B6-A-No sé o no estoy seguro-Recuento,B6-A-No sé o no estoy seguro-% del N de fila,B6-A-No sé o no estoy seguro-% de N columnas,B6-B-Totalmente de acuerdo-Recuento,B6-B-Totalmente de acuerdo-% del N de fila,B6-B-Totalmente de acuerdo-% de N columnas,B6-B-De acuerdo-Recuento,B6-B-De acuerdo-% del N de fila,B6-B-De acuerdo-% de N columnas,B6-B-En desacuerdo-Recuento,B6-B-En desacuerdo-% del N de fila,B6-B-En desacuerdo-% de N columnas,B6-B-Totalmente en desacuerdo-Recuento,B6-B-Totalmente en desacuerdo-% del N de fila,B6-B-Totalmente en desacuerdo-% de N columnas,B6-B-No sé o no estoy seguro-Recuento,B6-B-No sé o no estoy seguro-% del N de fila,B6-B-No sé o no estoy seguro-% de N columnas,B6-C-Totalmente de acuerdo-Recuento,B6-C-Totalmente de acuerdo-% del N de fila,B6-C-Totalmente de acuerdo-% de N columnas,B6-C-De acuerdo-Recuento,B6-C-De acuerdo-% del N de fila,B6-C-De acuerdo-% de N columnas,B6-C-En desacuerdo-Recuento,B6-C-En desacuerdo-% del N de fila,B6-C-En desacuerdo-% de N columnas,B6-C-Totalmente en desacuerdo-Recuento,B6-C-Totalmente en desacuerdo-% del N de fila,B6-C-Totalmente en desacuerdo-% de N columnas,B6-C-No sé o no estoy seguro-Recuento,B6-C-No sé o no estoy seguro-% del N de fila,B6-C-No sé o no estoy seguro-% de N columnas,B6-D-Totalmente de acuerdo-Recuento,B6-D-Totalmente de acuerdo-% del N de fila,B6-D-Totalmente de acuerdo-% de N columnas,B6-D-De acuerdo-Recuento,B6-D-De acuerdo-% del N de fila,B6-D-De acuerdo-% de N columnas,B6-D-En desacuerdo-Recuento,B6-D-En desacuerdo-% del N de fila,B6-D-En desacuerdo-% de N columnas,B6-D-Totalmente en desacuerdo-Recuento,B6-D-Totalmente en desacuerdo-% del N de fila,B6-D-Totalmente en desacuerdo-% de N columnas,B6-D-No sé o no estoy seguro-Recuento,B6-D-No sé o no estoy seguro-% del N de fila,B6-D-No sé o no estoy seguro-% de N columnas,B6-E-Totalmente de acuerdo-Recuento,B6-E-Totalmente de acuerdo-% del N de fila,B6-E-Totalmente de acuerdo-% de N columnas,B6-E-De acuerdo-Recuento,B6-E-De acuerdo-% del N de fila,B6-E-De acuerdo-% de N columnas,B6-E-En desacuerdo-Recuento,B6-E-En desacuerdo-% del N de fila,B6-E-En desacuerdo-% de N columnas,B6-E-Totalmente en desacuerdo-Recuento,B6-E-Totalmente en desacuerdo-% del N de fila,B6-E-Totalmente en desacuerdo-% de N columnas,B6-E-No sé o no estoy seguro-Recuento,B6-E-No sé o no estoy seguro-% del N de fila,B6-E-No sé o no estoy seguro-% de N columnas,B6-F-Totalmente de acuerdo-Recuento,B6-F-Totalmente de acuerdo-% del N de fila,B6-F-Totalmente de acuerdo-% de N columnas,B6-F-De acuerdo-Recuento,B6-F-De acuerdo-% del N de fila,B6-F-De acuerdo-% de N columnas,B6-F-En desacuerdo-Recuento,B6-F-En desacuerdo-% del N de fila,B6-F-En desacuerdo-% de N columnas,B6-F-Totalmente en desacuerdo-Recuento,B6-F-Totalmente en desacuerdo-% del N de fila,B6-F-Totalmente en desacuerdo-% de N columnas,B6-F-No sé o no estoy seguro-Recuento,B6-F-No sé o no estoy seguro-% del N de fila,B6-F-No sé o no estoy seguro-% de N columnas,B6-G-Totalmente de acuerdo-Recuento,B6-G-Totalmente de acuerdo-% del N de fila,B6-G-Totalmente de acuerdo-% de N columnas,B6-G-De acuerdo-Recuento,B6-G-De acuerdo-% del N de fila,B6-G-De acuerdo-% de N columnas,B6-G-En desacuerdo-Recuento,B6-G-En desacuerdo-% del N de fila,B6-G-En desacuerdo-% de N columnas,B6-G-Totalmente en desacuerdo-Recuento,B6-G-Totalmente en desacuerdo-% del N de fila,B6-G-Totalmente en desacuerdo-% de N columnas,B6-G-No sé o no estoy seguro-Recuento,B6-G-No sé o no estoy seguro-% del N de fila,B6-G-No sé o no estoy seguro-% de N columnas,B6-H-Totalmente de acuerdo-Recuento,B6-H-Totalmente de acuerdo-% del N de fila,B6-H-Totalmente de acuerdo-% de N columnas,B6-H-De acuerdo-Recuento,B6-H-De acuerdo-% del N de fila,B6-H-De acuerdo-% de N columnas,B6-H-En desacuerdo-Recuento,B6-H-En desacuerdo-% del N de fila,B6-H-En desacuerdo-% de N columnas,B6-H-Totalmente en desacuerdo-Recuento,B6-H-Totalmente en desacuerdo-% del N de fila,B6-H-Totalmente en desacuerdo-% de N columnas,B6-H-No sé o no estoy seguro-Recuento,B6-H-No sé o no estoy seguro-% del N de fila,B6-H-No sé o no estoy seguro-% de N columnas,B6-I-Totalmente de acuerdo-Recuento,B6-I-Totalmente de acuerdo-% del N de fila,B6-I-Totalmente de acuerdo-% de N columnas,B6-I-De acuerdo-Recuento,B6-I-De acuerdo-% del N de fila,B6-I-De acuerdo-% de N columnas,B6-I-En desacuerdo-Recuento,B6-I-En desacuerdo-% del N de fila,B6-I-En desacuerdo-% de N columnas,B6-I-Totalmente en desacuerdo-Recuento,B6-I-Totalmente en desacuerdo-% del N de fila,B6-I-Totalmente en desacuerdo-% de N columnas,B6-I-No sé o no estoy seguro-Recuento,B6-I-No sé o no estoy seguro-% del N de fila,B6-I-No sé o no estoy seguro-% de N columnas
AGUASCALIENTES,62,0.212,0.06,187,0.638,0.057,18,0.061,0.034,1,0.003,0.014,25,0.085,0.064,77,0.263,0.057,177,0.604,0.053,19,0.065,0.053,2,0.007,0.043,18,0.061,0.079,100,0.341,0.056,174,0.594,0.055,10,0.034,0.039,2,0.007,0.063,7,0.024,0.072,120,0.41,0.055,162,0.553,0.056,6,0.02,0.04,0,0,0,5,0.017,0.063,64,0.218,0.049,202,0.689,0.059,8,0.027,0.03,1,0.003,0.056,18,0.061,0.054,102,0.348,0.049,171,0.584,0.058,13,0.044,0.06,1,0.003,0.036,6,0.02,0.074,133,0.454,0.051,156,0.532,0.059,2,0.007,0.043,0,0,0,2,0.007,0.067,85,0.29,0.049,172,0.587,0.056,17,0.058,0.062,1,0.003,0.034,18,0.061,0.078,78,0.266,0.057,182,0.621,0.056,15,0.051,0.046,0,0,0,18,0.061,0.051
BAJA CALIFORNIA,5,0.122,0.005,24,0.585,0.007,7,0.171,0.013,0,0,0,5,0.122,0.013,7,0.171,0.005,29,0.707,0.009,2,0.049,0.006,0,0,0,3,0.073,0.013,14,0.341,0.008,25,0.61,0.008,1,0.024,0.004,0,0,0,1,0.024,0.01,16,0.39,0.007,24,0.585,0.008,0,0,0,0,0,0,1,0.024,0.013,10,0.244,0.008,25,0.61,0.007,4,0.098,0.015,0,0,0,2,0.049,0.006,15,0.366,0.007,26,0.634,0.009,0,0,0,0,0,0,0,0,0,24,0.585,0.009,16,0.39,0.006,0,0,0,0,0,0,1,0.024,0.033,18,0.439,0.01,19,0.463,0.006,2,0.049,0.007,0,0,0,2,0.049,0.009,12,0.293,0.009,23,0.561,0.007,3,0.073,0.009,0,0,0,3,0.073,0.008
BAJA CALIFORNIA SUR,31,0.146,0.03,148,0.698,0.045,18,0.085,0.034,2,0.009,0.029,13,0.061,0.033,62,0.292,0.046,137,0.646,0.041,6,0.028,0.017,0,0,0,7,0.033,0.031,76,0.358,0.042,124,0.585,0.039,7,0.033,0.027,0,0,0,5,0.024,0.052,105,0.495,0.048,101,0.476,0.035,3,0.014,0.02,0,0,0,3,0.014,0.038,46,0.217,0.035,146,0.689,0.043,5,0.024,0.019,1,0.005,0.056,14,0.066,0.042,86,0.406,0.041,117,0.552,0.04,5,0.024,0.023,0,0,0,4,0.019,0.049,119,0.561,0.045,91,0.429,0.035,0,0,0,0,0,0,2,0.009,0.067,76,0.358,0.044,123,0.58,0.04,7,0.033,0.026,1,0.005,0.034,5,0.024,0.022,53,0.25,0.039,127,0.599,0.039,16,0.075,0.049,0,0,0,16,0.075,0.045
CAMPECHE,31,0.166,0.03,115,0.615,0.035,28,0.15,0.052,3,0.016,0.043,10,0.053,0.026,40,0.214,0.029,121,0.647,0.036,16,0.086,0.045,3,0.016,0.065,7,0.037,0.031,58,0.31,0.032,118,0.631,0.037,7,0.037,0.027,2,0.011,0.063,2,0.011,0.021,65,0.348,0.03,110,0.588,0.038,9,0.048,0.06,3,0.016,0.158,0,0,0,40,0.214,0.031,126,0.674,0.037,8,0.043,0.03,1,0.005,0.056,12,0.064,0.036,65,0.348,0.031,113,0.604,0.039,6,0.032,0.028,1,0.005,0.036,2,0.011,0.025,83,0.444,0.032,99,0.529,0.038,2,0.011,0.043,2,0.011,0.125,1,0.005,0.033,54,0.289,0.031,109,0.583,0.035,11,0.059,0.04,0,0,0,13,0.07,0.057,42,0.225,0.031,122,0.652,0.038,13,0.07,0.04,0,0,0,10,0.053,0.028
CHIAPAS,5,0.083,0.005,41,0.683,0.012,6,0.1,0.011,0,0,0,8,0.133,0.02,8,0.133,0.006,32,0.533,0.01,9,0.15,0.025,1,0.017,0.022,10,0.167,0.044,9,0.15,0.005,40,0.667,0.013,7,0.117,0.027,1,0.017,0.031,3,0.05,0.031,14,0.233,0.006,34,0.567,0.012,7,0.117,0.047,0,0,0,5,0.083,0.063,8,0.133,0.006,35,0.583,0.01,7,0.117,0.026,0,0,0,10,0.167,0.03,22,0.367,0.011,37,0.617,0.013,1,0.017,0.005,0,0,0,0,0,0,20,0.333,0.008,40,0.667,0.015,0,0,0,0,0,0,0,0,0,17,0.283,0.01,31,0.517,0.01,6,0.1,0.022,0,0,0,6,0.1,0.026,9,0.15,0.007,38,0.633,0.012,5,0.083,0.015,1,0.017,0.026,7,0.117,0.02
CHIHUAHUA,39,0.152,0.038,161,0.629,0.049,26,0.102,0.049,7,0.027,0.1,23,0.09,0.059,63,0.246,0.046,169,0.66,0.051,13,0.051,0.036,1,0.004,0.022,10,0.039,0.044,83,0.324,0.046,161,0.629,0.051,11,0.043,0.043,0,0,0,1,0.004,0.01,119,0.465,0.055,132,0.516,0.045,4,0.016,0.027,1,0.004,0.053,0,0,0,77,0.301,0.059,155,0.605,0.046,12,0.047,0.045,1,0.004,0.056,11,0.043,0.033,89,0.348,0.043,143,0.559,0.049,17,0.066,0.078,1,0.004,0.036,6,0.023,0.074,131,0.512,0.05,121,0.473,0.046,2,0.008,0.043,1,0.004,0.063,1,0.004,0.033,88,0.344,0.051,145,0.566,0.047,10,0.039,0.037,2,0.008,0.069,11,0.043,0.048,73,0.285,0.053,143,0.559,0.044,18,0.07,0.055,1,0.004,0.026,21,0.082,0.059
CIUDAD DE MÉXICO,33,0.137,0.032,151,0.627,0.046,34,0.141,0.064,3,0.012,0.043,20,0.083,0.051,58,0.241,0.043,148,0.614,0.044,23,0.095,0.064,0,0,0,12,0.05,0.053,79,0.328,0.044,134,0.556,0.042,19,0.079,0.075,2,0.008,0.063,7,0.029,0.072,97,0.402,0.045,131,0.544,0.045,9,0.037,0.06,1,0.004,0.053,3,0.012,0.038,48,0.199,0.037,159,0.66,0.047,15,0.062,0.057,0,0,0,19,0.079,0.057,102,0.423,0.049,122,0.506,0.042,13,0.054,0.06,0,0,0,4,0.017,0.049,125,0.519,0.048,115,0.477,0.044,1,0.004,0.021,0,0,0,0,0,0,66,0.274,0.038,141,0.585,0.046,20,0.083,0.073,1,0.004,0.034,13,0.054,0.057,46,0.191,0.034,149,0.618,0.046,21,0.087,0.065,2,0.008,0.051,23,0.095,0.065
COAHUILA,15,0.181,0.014,48,0.578,0.015,13,0.157,0.024,1,0.012,0.014,6,0.072,0.015,18,0.217,0.013,55,0.663,0.016,5,0.06,0.014,1,0.012,0.022,4,0.048,0.018,19,0.229,0.011,54,0.651,0.017,6,0.072,0.024,2,0.024,0.063,2,0.024,0.021,27,0.325,0.012,51,0.614,0.017,2,0.024,0.013,1,0.012,0.053,2,0.024,0.025,17,0.205,0.013,54,0.651,0.016,5,0.06,0.019,0,0,0,7,0.084,0.021,29,0.349,0.014,44,0.53,0.015,5,0.06,0.023,1,0.012,0.036,4,0.048,0.049,32,0.386,0.012,48,0.578,0.018,1,0.012,0.021,1,0.012,0.063,1,0.012,0.033,27,0.325,0.016,45,0.542,0.015,7,0.084,0.026,2,0.024,0.069,2,0.024,0.009,17,0.205,0.012,50,0.602,0.015,7,0.084,0.022,4,0.048,0.103,5,0.06,0.014
COLIMA,48,0.242,0.046,117,0.591,0.035,16,0.081,0.03,3,0.015,0.043,14,0.071,0.036,51,0.258,0.037,111,0.561,0.033,24,0.121,0.067,2,0.01,0.043,10,0.051,0.044,73,0.369,0.041,108,0.545,0.034,12,0.061,0.047,2,0.01,0.063,3,0.015,0.031,90,0.455,0.041,100,0.505,0.034,5,0.025,0.034,1,0.005,0.053,2,0.01,0.025,61,0.308,0.047,116,0.586,0.034,7,0.035,0.026,0,0,0,14,0.071,0.042,89,0.447,0.043,99,0.497,0.034,6,0.03,0.028,1,0.005,0.036,4,0.02,0.049,106,0.533,0.04,90,0.452,0.034,0,0,0,0,0,0,3,0.015,0.1,67,0.337,0.039,106,0.533,0.034,14,0.07,0.051,1,0.005,0.034,11,0.055,0.048,48,0.241,0.035,125,0.628,0.038,12,0.06,0.037,1,0.005,0.026,13,0.065,0.037
DURANGO,55,0.206,0.053,179,0.67,0.054,17,0.064,0.032,2,0.007,0.029,14,0.052,0.036,66,0.247,0.048,168,0.629,0.05,20,0.075,0.056,0,0,0,13,0.049,0.057,91,0.341,0.051,153,0.573,0.048,19,0.071,0.075,1,0.004,0.031,3,0.011,0.031,111,0.416,0.051,148,0.554,0.051,3,0.011,0.02,0,0,0,5,0.019,0.063,61,0.228,0.047,182,0.682,0.053,10,0.037,0.038,0,0,0,14,0.052,0.042,114,0.427,0.055,140,0.524,0.048,8,0.03,0.037,1,0.004,0.036,4,0.015,0.049,137,0.513,0.052,124,0.464,0.047,1,0.004,0.021,1,0.004,0.063,4,0.015,0.133,97,0.363,0.056,147,0.551,0.048,11,0.041,0.04,0,0,0,12,0.045,0.052,75,0.281,0.055,163,0.61,0.05,10,0.037,0.031,1,0.004,0.026,18,0.067,0.051
ESTADO DE MÉXICO,44,0.239,0.042,109,0.592,0.033,17,0.092,0.032,1,0.005,0.014,13,0.071,0.033,54,0.293,0.04,111,0.603,0.033,14,0.076,0.039,0,0,0,5,0.027,0.022,60,0.326,0.033,115,0.625,0.036,5,0.027,0.02,0,0,0,4,0.022,0.041,83,0.451,0.038,94,0.511,0.032,5,0.027,0.034,0,0,0,2,0.011,0.025,52,0.283,0.04,119,0.647,0.035,4,0.022,0.015,0,0,0,9,0.049,0.027,84,0.457,0.04,92,0.5,0.031,7,0.038,0.032,0,0,0,1,0.005,0.012,92,0.5,0.035,88,0.478,0.034,2,0.011,0.043,0,0,0,2,0.011,0.067,66,0.359,0.038,98,0.533,0.032,9,0.049,0.033,1,0.005,0.034,10,0.054,0.043,51,0.277,0.037,114,0.62,0.035,10,0.054,0.031,0,0,0,9,0.049,0.025
GUANAJUATO,65,0.256,0.063,151,0.594,0.046,29,0.114,0.054,1,0.004,0.014,8,0.031,0.02,88,0.346,0.065,151,0.594,0.045,9,0.035,0.025,3,0.012,0.065,3,0.012,0.013,110,0.433,0.061,133,0.524,0.042,6,0.024,0.024,1,0.004,0.031,4,0.016,0.041,113,0.445,0.052,137,0.539,0.047,2,0.008,0.013,1,0.004,0.053,1,0.004,0.013,78,0.307,0.059,155,0.61,0.046,12,0.047,0.045,1,0.004,0.056,8,0.031,0.024,109,0.429,0.052,134,0.528,0.046,9,0.035,0.041,0,0,0,2,0.008,0.025,127,0.5,0.048,124,0.488,0.047,1,0.004,0.021,1,0.004,0.063,1,0.004,0.033,93,0.366,0.054,147,0.579,0.048,8,0.031,0.029,1,0.004,0.034,5,0.02,0.022,82,0.323,0.06,147,0.579,0.045,10,0.039,0.031,4,0.016,0.103,11,0.043,0.031
GUERRERO,3,0.167,0.003,15,0.833,0.005,0,0,0,0,0,0,0,0,0,4,0.222,0.003,13,0.722,0.004,1,0.056,0.003,0,0,0,0,0,0,4,0.222,0.002,13,0.722,0.004,1,0.056,0.004,0,0,0,0,0,0,5,0.278,0.002,11,0.611,0.004,1,0.056,0.007,0,0,0,1,0.056,0.013,4,0.222,0.003,12,0.667,0.004,1,0.056,0.004,0,0,0,1,0.056,0.003,4,0.222,0.002,13,0.722,0.004,0,0,0,1,0.056,0.036,0,0,0,5,0.278,0.002,13,0.722,0.005,0,0,0,0,0,0,0,0,0,4,0.222,0.002,13,0.722,0.004,1,0.056,0.004,0,0,0,0,0,0,5,0.278,0.004,12,0.667,0.004,1,0.056,0.003,0,0,0,0,0,0
HIDALGO,27,0.155,0.026,110,0.632,0.033,19,0.109,0.036,3,0.017,0.043,15,0.086,0.038,44,0.253,0.032,109,0.626,0.033,15,0.086,0.042,2,0.011,0.043,4,0.023,0.018,57,0.328,0.032,98,0.563,0.031,10,0.057,0.039,4,0.023,0.125,5,0.029,0.052,66,0.379,0.03,97,0.557,0.033,5,0.029,0.034,1,0.006,0.053,5,0.029,0.063,39,0.224,0.03,107,0.615,0.031,14,0.08,0.053,3,0.017,0.167,11,0.063,0.033,62,0.356,0.03,100,0.575,0.034,9,0.052,0.041,1,0.006,0.036,2,0.011,0.025,83,0.477,0.032,88,0.506,0.034,2,0.011,0.043,1,0.006,0.063,0,0,0,54,0.31,0.031,103,0.592,0.033,12,0.069,0.044,1,0.006,0.034,4,0.023,0.017,46,0.264,0.034,108,0.621,0.033,10,0.057,0.031,0,0,0,10,0.057,0.028
JALISCO,27,0.147,0.026,113,0.614,0.034,23,0.125,0.043,2,0.011,0.029,19,0.103,0.049,47,0.255,0.035,123,0.668,0.037,8,0.043,0.022,1,0.005,0.022,5,0.027,0.022,63,0.342,0.035,109,0.592,0.035,7,0.038,0.027,0,0,0,5,0.027,0.052,69,0.375,0.032,107,0.582,0.037,5,0.027,0.034,0,0,0,3,0.016,0.038,46,0.25,0.035,119,0.647,0.035,7,0.038,0.026,1,0.005,0.056,11,0.06,0.033,79,0.429,0.038,99,0.538,0.034,4,0.022,0.018,0,0,0,2,0.011,0.025,93,0.505,0.035,90,0.489,0.034,1,0.005,0.021,0,0,0,0,0,0,57,0.31,0.033,112,0.609,0.036,6,0.033,0.022,0,0,0,9,0.049,0.039,39,0.212,0.029,118,0.641,0.036,11,0.06,0.034,1,0.005,0.026,15,0.082,0.042
MICHOACÁN,9,0.191,0.009,25,0.532,0.008,5,0.106,0.009,0,0,0,8,0.17,0.02,7,0.149,0.005,35,0.745,0.01,0,0,0,1,0.021,0.022,4,0.085,0.018,10,0.213,0.006,36,0.766,0.011,0,0,0,0,0,0,1,0.021,0.01,15,0.319,0.007,31,0.66,0.011,0,0,0,0,0,0,1,0.021,0.013,10,0.213,0.008,29,0.617,0.009,1,0.021,0.004,0,0,0,7,0.149,0.021,17,0.362,0.008,28,0.596,0.01,1,0.021,0.005,0,0,0,1,0.021,0.012,25,0.532,0.01,22,0.468,0.008,0,0,0,0,0,0,0,0,0,11,0.234,0.006,32,0.681,0.01,3,0.064,0.011,0,0,0,1,0.021,0.004,9,0.191,0.007,28,0.596,0.009,4,0.085,0.012,0,0,0,6,0.128,0.017
MORELOS,35,0.21,0.034,115,0.689,0.035,5,0.03,0.009,1,0.006,0.014,11,0.066,0.028,52,0.311,0.038,103,0.617,0.031,7,0.042,0.02,1,0.006,0.022,4,0.024,0.018,60,0.359,0.033,101,0.605,0.032,3,0.018,0.012,0,0,0,3,0.018,0.031,71,0.425,0.033,90,0.539,0.031,3,0.018,0.02,0,0,0,3,0.018,0.038,41,0.246,0.031,111,0.665,0.033,10,0.06,0.038,0,0,0,5,0.03,0.015,70,0.419,0.034,88,0.527,0.03,6,0.036,0.028,1,0.006,0.036,2,0.012,0.025,83,0.497,0.032,82,0.491,0.031,1,0.006,0.021,1,0.006,0.063,0,0,0,56,0.335,0.033,99,0.593,0.032,5,0.03,0.018,1,0.006,0.034,6,0.036,0.026,47,0.281,0.034,102,0.611,0.031,7,0.042,0.022,1,0.006,0.026,10,0.06,0.028
NAYARIT,36,0.19,0.035,123,0.651,0.037,16,0.085,0.03,1,0.005,0.014,13,0.069,0.033,49,0.259,0.036,126,0.667,0.038,7,0.037,0.02,0,0,0,7,0.037,0.031,64,0.339,0.036,109,0.577,0.035,10,0.053,0.039,0,0,0,6,0.032,0.062,81,0.429,0.037,99,0.524,0.034,2,0.011,0.013,1,0.005,0.053,6,0.032,0.075,49,0.259,0.037,117,0.619,0.034,8,0.042,0.03,0,0,0,15,0.079,0.045,82,0.434,0.039,92,0.487,0.031,10,0.053,0.046,0,0,0,5,0.026,0.062,108,0.571,0.041,78,0.413,0.03,2,0.011,0.043,1,0.005,0.063,0,0,0,64,0.339,0.037,110,0.582,0.036,7,0.037,0.026,0,0,0,8,0.042,0.035,46,0.243,0.034,119,0.63,0.037,12,0.063,0.037,0,0,0,12,0.063,0.034
NUEVO LEÓN,3,0.091,0.003,22,0.667,0.007,6,0.182,0.011,0,0,0,2,0.061,0.005,9,0.273,0.007,21,0.636,0.006,3,0.091,0.008,0,0,0,0,0,0,11,0.333,0.006,17,0.515,0.005,4,0.121,0.016,0,0,0,1,0.03,0.01,13,0.394,0.006,17,0.515,0.006,3,0.091,0.02,0,0,0,0,0,0,8,0.242,0.006,21,0.636,0.006,1,0.03,0.004,0,0,0,3,0.091,0.009,11,0.333,0.005,21,0.636,0.007,1,0.03,0.005,0,0,0,0,0,0,16,0.485,0.006,16,0.485,0.006,0,0,0,1,0.03,0.063,0,0,0,10,0.303,0.006,18,0.545,0.006,1,0.03,0.004,1,0.03,0.034,3,0.091,0.013,8,0.242,0.006,20,0.606,0.006,3,0.091,0.009,0,0,0,2,0.061,0.006
PUEBLA,49,0.257,0.047,118,0.618,0.036,14,0.073,0.026,2,0.01,0.029,8,0.042,0.02,56,0.293,0.041,121,0.634,0.036,7,0.037,0.02,2,0.01,0.043,5,0.026,0.022,70,0.366,0.039,108,0.565,0.034,9,0.047,0.035,1,0.005,0.031,3,0.016,0.031,79,0.414,0.036,103,0.539,0.035,7,0.037,0.047,0,0,0,2,0.01,0.025,45,0.236,0.034,125,0.654,0.037,8,0.042,0.03,0,0,0,13,0.068,0.039,68,0.356,0.033,113,0.592,0.039,6,0.031,0.028,2,0.01,0.071,2,0.01,0.025,89,0.466,0.034,97,0.508,0.037,5,0.026,0.106,0,0,0,0,0,0,73,0.382,0.042,101,0.529,0.033,6,0.031,0.022,1,0.005,0.034,10,0.052,0.043,60,0.314,0.044,113,0.592,0.035,8,0.042,0.025,1,0.005,0.026,9,0.047,0.025
QUERÉTARO,37,0.154,0.036,141,0.585,0.043,38,0.158,0.071,9,0.037,0.129,16,0.066,0.041,74,0.307,0.054,132,0.548,0.039,20,0.083,0.056,5,0.021,0.109,10,0.041,0.044,86,0.357,0.048,134,0.556,0.042,16,0.066,0.063,1,0.004,0.031,4,0.017,0.041,105,0.436,0.048,123,0.51,0.042,9,0.037,0.06,2,0.008,0.105,2,0.008,0.025,67,0.278,0.051,138,0.573,0.041,16,0.066,0.06,2,0.008,0.111,18,0.075,0.054,104,0.432,0.05,120,0.498,0.041,12,0.05,0.055,2,0.008,0.071,3,0.012,0.037,130,0.539,0.05,106,0.44,0.04,3,0.012,0.064,2,0.008,0.125,0,0,0,71,0.295,0.041,141,0.585,0.046,20,0.083,0.073,3,0.012,0.103,6,0.025,0.026,47,0.195,0.034,152,0.631,0.047,21,0.087,0.065,3,0.012,0.077,18,0.075,0.051
QUINTANA ROO,43,0.212,0.041,118,0.581,0.036,20,0.099,0.037,3,0.015,0.043,19,0.094,0.049,51,0.251,0.037,120,0.591,0.036,16,0.079,0.045,1,0.005,0.022,15,0.074,0.066,72,0.355,0.04,117,0.576,0.037,11,0.054,0.043,1,0.005,0.031,2,0.01,0.021,78,0.384,0.036,112,0.552,0.038,11,0.054,0.074,0,0,0,2,0.01,0.025,51,0.251,0.039,125,0.616,0.037,10,0.049,0.038,0,0,0,17,0.084,0.051,71,0.35,0.034,123,0.606,0.042,6,0.03,0.028,2,0.01,0.071,1,0.005,0.012,90,0.443,0.034,107,0.527,0.041,5,0.025,0.106,0,0,0,1,0.005,0.033,68,0.335,0.04,115,0.567,0.037,10,0.049,0.037,1,0.005,0.034,9,0.044,0.039,59,0.291,0.043,118,0.581,0.036,7,0.034,0.022,2,0.01,0.051,17,0.084,0.048
SAN LUIS POTOSÍ,43,0.177,0.041,155,0.638,0.047,26,0.107,0.049,3,0.012,0.043,16,0.066,0.041,58,0.239,0.043,156,0.642,0.047,17,0.07,0.047,2,0.008,0.043,10,0.041,0.044,77,0.317,0.043,148,0.609,0.047,14,0.058,0.055,0,0,0,4,0.016,0.041,83,0.342,0.038,150,0.617,0.051,7,0.029,0.047,0,0,0,3,0.012,0.038,53,0.218,0.04,161,0.663,0.047,14,0.058,0.053,0,0,0,15,0.062,0.045,82,0.337,0.039,146,0.601,0.05,9,0.037,0.041,1,0.004,0.036,5,0.021,0.062,116,0.477,0.044,121,0.498,0.046,3,0.012,0.064,1,0.004,0.063,2,0.008,0.067,68,0.28,0.04,148,0.609,0.048,11,0.045,0.04,2,0.008,0.069,14,0.058,0.061,63,0.259,0.046,155,0.638,0.048,11,0.045,0.034,1,0.004,0.026,13,0.053,0.037
SINALOA,99,0.261,0.095,228,0.6,0.069,20,0.053,0.037,5,0.013,0.071,28,0.074,0.072,100,0.263,0.073,229,0.603,0.069,28,0.074,0.078,6,0.016,0.13,17,0.045,0.075,150,0.395,0.083,206,0.542,0.065,10,0.026,0.039,6,0.016,0.188,8,0.021,0.082,167,0.439,0.077,192,0.505,0.066,10,0.026,0.067,2,0.005,0.105,9,0.024,0.113,106,0.279,0.081,233,0.613,0.068,18,0.047,0.068,0,0,0,23,0.061,0.068,158,0.416,0.076,197,0.518,0.067,13,0.034,0.06,2,0.005,0.071,10,0.026,0.123,195,0.513,0.074,182,0.479,0.069,1,0.003,0.021,1,0.003,0.063,1,0.003,0.033,136,0.358,0.079,221,0.582,0.072,10,0.026,0.037,1,0.003,0.034,12,0.032,0.052,110,0.289,0.08,225,0.592,0.069,16,0.042,0.049,2,0.005,0.051,27,0.071,0.076
SONORA,47,0.28,0.045,97,0.577,0.029,13,0.077,0.024,2,0.012,0.029,9,0.054,0.023,47,0.28,0.035,105,0.625,0.031,6,0.036,0.017,3,0.018,0.065,7,0.042,0.031,66,0.393,0.037,93,0.554,0.029,5,0.03,0.02,3,0.018,0.094,1,0.006,0.01,77,0.458,0.035,83,0.494,0.028,6,0.036,0.04,1,0.006,0.053,1,0.006,0.013,51,0.304,0.039,101,0.601,0.03,8,0.048,0.03,0,0,0,8,0.048,0.024,70,0.417,0.034,91,0.542,0.031,3,0.018,0.014,2,0.012,0.071,2,0.012,0.025,87,0.518,0.033,80,0.476,0.031,1,0.006,0.021,0,0,0,0,0,0,59,0.351,0.034,99,0.589,0.032,7,0.042,0.026,1,0.006,0.034,2,0.012,0.009,48,0.286,0.035,103,0.613,0.032,9,0.054,0.028,2,0.012,0.051,6,0.036,0.017
